City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Kahna Nau,PK,82.4,haze,31.3692,74.3653,Ahle hadees masjid kahna nau
192,Amapa,BR,80.55,overcast clouds,1.0,-52.0,
193,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
194,Hobyo,SO,83.01,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
195,Maragogi,BR,81.32,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
196,Manaira,BR,78.87,broken clouds,-7.7061,-38.1544,Pousada Irerê
201,Quatre Cocos,MU,79.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
203,Pochutla,MX,88.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
204,Finschhafen,PG,78.3,overcast clouds,-6.6024,147.8681,Cossam Guest House
205,Luderitz,,75.33,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
208,Paracuru,BR,78.8,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
216,Harper,LR,82.78,overcast clouds,4.375,-7.7169,Screensaver
219,Acarau,BR,84.78,moderate rain,-2.8856,-40.12,castelo pizzaria
221,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
222,Xuddur,SO,88.86,overcast clouds,4.1213,43.8894,Banjanay Hotel
226,Palu,ID,75.79,light rain,-0.8917,119.8707,Hotel Santika Palu
234,Coacoyul,MX,89.04,clear sky,17.8058,-99.11,Casa Abuelita Natalia
235,Vao,NC,75.7,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
238,Poli,TZ,75.2,light rain,-3.3333,36.8,Urafiki House
240,Sao Felix Do Xingu,BR,89.42,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
248,Cururupu,BR,85.5,moderate rain,-1.8283,-44.8683,Pousada Través'cia
255,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
256,Najran,SA,89.6,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
258,Maraa,BR,77.56,moderate rain,-1.8333,-65.3667,
259,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
261,Honiara,SB,76.59,light rain,-9.4333,159.95,Heritage Park Hotel
265,Bela,IN,84.52,broken clouds,25.9333,81.9833,Raj Bhawan
266,Port-Gentil,GA,78.8,scattered clouds,-0.7193,8.7815,Fengshui Residence
267,Dingle,PH,75.69,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Ende,ID,76.35,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
269,Nabire,ID,75.25,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
276,Vitoria Da Conquista,BR,81.57,broken clouds,-14.8661,-40.8394,Hotel Universo
281,Coahuayana,MX,80.6,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
289,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
298,Santa Maria,BR,75.2,broken clouds,-29.6842,-53.8069,Hotel Morotin
301,Daru,PG,75.43,broken clouds,-9.0763,143.2092,Daru Lodge
311,Point Pedro,LK,82.72,clear sky,9.8167,80.2333,Gtr homes
317,Bandar-E Lengeh,IR,82.4,scattered clouds,26.5579,54.8807,کافی نت پارس
319,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
320,Marrakesh,MA,80.6,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
321,Tomatlan,MX,88.88,clear sky,19.9333,-105.25,Norma franco
323,Pocoes,BR,78.1,broken clouds,-14.5297,-40.3653,Poções Palace Hotel
324,Tura,IN,78.12,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
327,Umm Kaddadah,SD,80.1,broken clouds,13.6017,26.6876,
331,Sirur,IN,84.09,scattered clouds,18.8333,74.3833,Hindustan Petroleum
333,San Angelo,US,84.0,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
334,Sidrolandia,BR,89.6,broken clouds,-20.9319,-54.9614,Agropet São Francisco
335,Bosaso,SO,80.6,clear sky,11.2842,49.1816,Red Sea Hotel
340,Biak,ID,76.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
342,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Cayenne,GF,87.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
345,Sabha,LY,82.13,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
351,Thinadhoo,MV,83.37,scattered clouds,0.5333,72.9333,
353,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
354,Saint-Leu,RE,78.8,light rain,-21.15,55.2833,La Caz Oceane
357,Pedernales,DO,81.99,scattered clouds,18.0384,-71.744,Hotel Costa Marina
361,Chilca,PE,75.2,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
367,Wau,SS,89.64,overcast clouds,7.7029,27.9953,Universal Gab Hotel
373,Bombay,IN,84.2,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
374,Pundaguitan,PH,81.3,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
376,Nazare,BR,84.11,overcast clouds,-13.035,-39.0144,Pousada da Fonte
378,Sao Joao Del Rei,BR,78.8,clear sky,-21.1356,-44.2617,Solara Hotel
379,Carutapera,BR,81.73,overcast clouds,-1.195,-46.02,Lidera
380,San Patricio,US,84.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
384,Prieska,ZA,81.01,clear sky,-29.6641,22.7474,Avenue GuestHouse
385,Namatanai,PG,76.3,light rain,-3.6667,152.4333,Namatanai Hotel
386,Tiarei,PF,80.6,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
389,Penon Blanco,MX,79.05,scattered clouds,24.7897,-104.0369,Hotel Lopez
395,Hambantota,LK,80.46,overcast clouds,6.1241,81.1185,Bungalow 63
398,Cabo Rojo,PR,82.99,scattered clouds,18.0866,-67.1457,Hotel Perichi's
402,Kudahuvadhoo,MV,83.59,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
404,Correntina,BR,89.01,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
409,Gamba,GA,80.82,broken clouds,-2.65,10.0,
