City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-04-10 15:39:03,-33.9258,18.4232,70.0,73,0,12.66
68,Ishigaki,JP,2021-04-10 15:43:08,24.3448,124.1572,73.42,70,76,18.77
69,Constitucion,CL,2021-04-10 15:39:13,-35.3333,-72.4167,62.2,56,0,11.74
70,Cherskiy,RU,2021-04-10 15:43:09,68.75,161.3,-24.11,93,100,2.62
71,Port Lincoln,AU,2021-04-10 15:39:28,-34.7333,135.8667,58.78,61,93,17.02
72,Kruisfontein,ZA,2021-04-10 15:43:09,-34.0033,24.7314,64.99,81,100,1.99
73,Buala,SB,2021-04-10 15:43:09,-8.145,159.5921,78.53,85,98,4.16
74,Severobaykalsk,RU,2021-04-10 15:43:09,55.65,109.3167,9.73,80,32,8.43
75,Kaitangata,NZ,2021-04-10 15:41:08,-46.2817,169.8464,55.72,80,100,5.93
76,Vaini,TO,2021-04-10 15:42:37,-21.2,-175.2,68.0,100,20,3.44
77,Jamestown,US,2021-04-10 15:38:39,42.097,-79.2353,70.0,63,1,11.5
78,Bethel,US,2021-04-10 15:43:10,41.3712,-73.414,63.0,72,90,4.61
79,Torbay,CA,2021-04-10 15:42:58,47.6666,-52.7314,33.01,100,90,19.57
80,Ilulissat,GL,2021-04-10 15:43:10,69.2167,-51.1,21.2,86,90,8.05
81,Jiazi,CN,2021-04-10 15:43:11,22.8779,116.067,65.93,80,24,18.34
82,Almeirim,BR,2021-04-10 15:43:11,-1.5233,-52.5817,86.83,61,33,4.65
83,Valparaiso,CL,2021-04-10 15:43:11,-33.0393,-71.6273,64.4,55,0,9.22
84,Medellin,CO,2021-04-10 15:41:22,6.2518,-75.5636,68.0,64,40,5.75
85,Fort Nelson,CA,2021-04-10 15:43:12,58.8053,-122.7002,10.4,72,90,13.8
86,Byron Bay,AU,2021-04-10 15:38:47,-28.65,153.6167,68.0,68,11,5.75
87,Thompson,CA,2021-04-10 15:43:12,55.7435,-97.8558,30.2,80,90,5.75
88,Yulara,AU,2021-04-10 15:43:12,-25.2406,130.9889,68.0,45,0,11.5
89,San Jeronimo,PE,2021-04-10 15:43:13,-11.9472,-75.2829,58.32,61,94,2.42
90,Baruun-Urt,MN,2021-04-10 15:43:13,46.6806,113.2792,34.92,60,99,7.07
91,Severo-Kurilsk,RU,2021-04-10 15:39:18,50.6789,156.125,29.21,85,100,17.49
92,Saskylakh,RU,2021-04-10 15:43:13,71.9167,114.0833,-5.96,91,9,9.37
93,Monrovia,LR,2021-04-10 15:43:14,6.3005,-10.7969,87.8,70,75,8.05
94,Lasa,IT,2021-04-10 15:43:14,46.6166,10.7002,55.0,87,75,8.05
95,Wittenberge,DE,2021-04-10 15:43:14,53.0,11.75,50.0,59,100,6.02
96,Obregon,NI,2021-04-10 15:43:14,11.9566,-85.9636,86.0,62,75,6.91
97,Zhanaozen,KZ,2021-04-10 15:43:15,43.3,52.8,78.26,18,46,18.63
98,Mayya,RU,2021-04-10 15:43:15,61.7333,130.2811,17.6,86,40,13.42
99,Kirakira,SB,2021-04-10 15:38:44,-10.4544,161.9205,78.85,85,100,3.47
100,Cockburn Town,TC,2021-04-10 15:41:55,21.4612,-71.1419,75.34,66,100,14.23
101,Ancud,CL,2021-04-10 15:43:15,-41.8697,-73.8203,55.0,81,75,6.91
102,Gunib,RU,2021-04-10 15:43:16,42.3876,46.9651,52.92,80,99,1.92
103,Tazovskiy,RU,2021-04-10 15:43:16,67.4667,78.7,32.7,91,100,9.15
104,Portree,GB,2021-04-10 15:43:16,57.4129,-6.1942,43.0,61,71,14.0
105,Saint George,US,2021-04-10 15:43:17,37.1041,-113.5841,55.4,19,1,6.91
106,Bestobe,KZ,2021-04-10 15:43:17,52.4994,73.0975,30.74,93,40,11.12
107,Talnakh,RU,2021-04-10 15:43:17,69.4865,88.3972,31.37,98,100,12.12
108,Domodossola,IT,2021-04-10 15:43:17,46.1165,8.2931,53.01,62,100,4.65
109,Yellowknife,CA,2021-04-10 15:43:09,62.456,-114.3525,0.0,65,20,14.97
110,Kochi,IN,2021-04-10 15:43:18,9.9399,76.2602,86.0,74,40,2.3
111,Hefei,CN,2021-04-10 15:43:18,31.8639,117.2808,61.0,72,0,4.47
112,Meadow Lake,US,2021-04-10 15:43:18,34.8014,-106.5436,57.0,31,20,6.91
113,Dossor,KZ,2021-04-10 15:43:19,47.5272,52.9811,74.32,22,34,27.13
114,Buin,CL,2021-04-10 15:43:19,-33.7333,-70.75,59.0,62,75,4.61
115,Peace River,CA,2021-04-10 15:42:52,56.2501,-117.286,23.0,80,90,31.07
116,Butaritari,KI,2021-04-10 15:38:41,3.0707,172.7902,80.64,80,100,9.24
117,Psebay,RU,2021-04-10 15:43:20,44.1234,40.8107,38.28,98,100,2.06
118,Punta Arenas,CL,2021-04-10 15:42:46,-53.15,-70.9167,55.4,62,75,21.85
119,Puerto Ayora,EC,2021-04-10 15:43:20,-0.7393,-90.3518,80.01,94,75,10.36
120,Paamiut,GL,2021-04-10 15:43:20,61.994,-49.6678,34.54,86,57,7.18
121,Bourg-En-Bresse,FR,2021-04-10 15:43:21,46.1667,5.1667,61.0,51,100,15.01
122,Castro,BR,2021-04-10 15:43:21,-24.7911,-50.0119,78.04,39,2,1.61
123,Linhai,CN,2021-04-10 15:43:21,28.85,121.1167,59.0,73,100,1.45
124,Oussouye,SN,2021-04-10 15:43:21,12.485,-16.5469,98.6,78,0,9.22
125,Caruray,PH,2021-04-10 15:43:22,10.3094,119.0128,77.0,94,90,4.61
126,Hasaki,JP,2021-04-10 15:43:22,35.7333,140.8333,42.8,81,40,3.44
127,New Norfolk,AU,2021-04-10 15:42:29,-42.7826,147.0587,44.01,80,99,1.01
128,Leh,IN,2021-04-10 15:43:23,34.1667,77.5833,32.68,44,81,4.74
129,Naze,JP,2021-04-10 15:43:23,28.3667,129.4833,62.91,68,96,19.93
130,Luderitz,NA,2021-04-10 15:43:23,-26.6481,15.1594,79.02,47,0,8.21
131,Kutum,SD,2021-04-10 15:43:23,14.2,24.6667,84.69,5,9,15.17
132,Okhotsk,RU,2021-04-10 15:41:21,59.3833,143.3,22.01,93,100,6.06
133,Henties Bay,NA,2021-04-10 15:43:24,-22.116,14.2845,87.01,38,0,5.99
134,Pitimbu,BR,2021-04-10 15:39:28,-7.4706,-34.8086,80.6,100,75,10.36
135,Carnarvon,AU,2021-04-10 15:43:24,-24.8667,113.6333,75.2,88,96,12.66
136,Ornskoldsvik,SE,2021-04-10 15:43:24,63.2909,18.7153,37.4,65,75,12.66
137,Dillon,US,2021-04-10 15:43:25,34.4166,-79.3712,73.99,78,40,9.22
138,Namibe,AO,2021-04-10 15:43:25,-15.1961,12.1522,87.8,66,40,18.41
139,San Jose,US,2021-04-10 15:38:41,37.3394,-121.895,52.0,76,40,3.44
140,Astana,KZ,2021-04-10 15:39:26,51.1801,71.446,37.4,81,0,24.61
141,Katsuura,JP,2021-04-10 15:43:25,35.1333,140.3,51.8,58,40,10.36
142,Kasamwa,TZ,2021-04-10 15:43:26,-2.85,32.4333,65.48,87,100,5.64
143,Khatanga,RU,2021-04-10 15:43:26,71.9667,102.5,1.38,89,97,5.55
144,Adrar,MR,2021-04-10 15:43:26,20.5022,-10.0711,95.99,9,0,3.0
145,Gol,NO,2021-04-10 15:43:27,60.7014,8.9457,28.99,52,0,7.0
146,Abalak,RU,2021-04-10 15:43:27,58.1286,68.5944,38.89,97,100,8.03
147,Kishni,IN,2021-04-10 15:43:27,27.0247,79.2634,86.81,6,42,9.28
148,Qaanaaq,GL,2021-04-10 15:43:28,77.484,-69.3632,20.75,88,100,7.36
149,Zhigansk,RU,2021-04-10 15:43:28,66.7697,123.3711,0.79,86,9,14.79
150,Rabo De Peixe,PT,2021-04-10 15:43:28,37.8,-25.5833,60.8,100,75,13.8
151,Vientiane,LA,2021-04-10 15:43:28,17.9667,102.6,86.0,68,38,3.78
152,Guerrero Negro,MX,2021-04-10 15:42:36,27.9769,-114.0611,63.16,70,80,12.15
153,Mahebourg,MU,2021-04-10 15:43:02,-20.4081,57.7,78.8,83,40,9.22
154,Dalby,AU,2021-04-10 15:43:29,-27.1833,151.2667,62.01,74,11,7.72
155,Temir,KZ,2021-04-10 15:43:29,49.1414,57.13,52.12,73,18,14.99
156,Te Anau,NZ,2021-04-10 15:43:29,-45.4167,167.7167,54.37,93,100,3.62
157,Aguimes,ES,2021-04-10 15:43:30,27.9054,-15.4461,71.6,60,20,18.41
158,Rio Gallegos,AR,2021-04-10 15:41:32,-51.6226,-69.2181,55.4,50,20,5.75
159,Presidencia Roque Saenz Pena,AR,2021-04-10 15:43:30,-26.7852,-60.4388,91.99,55,7,4.0
160,Bila Tserkva,UA,2021-04-10 15:43:31,49.8094,30.1121,48.92,49,5,6.44
161,Mancio Lima,BR,2021-04-10 15:43:31,-7.6142,-72.8958,82.4,83,75,3.44
162,Ciudad Bolivar,VE,2021-04-10 15:43:31,8.1222,-63.5497,83.35,65,100,6.96
163,Concepcion Del Uruguay,AR,2021-04-10 15:41:01,-32.4825,-58.2372,82.53,69,100,11.95
164,Aden,YE,2021-04-10 15:39:18,12.7794,45.0367,81.64,73,0,20.18
165,Walvis Bay,NA,2021-04-10 15:43:32,-22.9575,14.5053,87.01,38,0,5.99
166,Kavaratti,IN,2021-04-10 15:43:32,10.5669,72.642,83.23,69,0,5.95
167,Esperance,AU,2021-04-10 15:40:42,-33.8667,121.9,57.2,88,76,11.5
168,Mamallapuram,IN,2021-04-10 15:43:32,12.6264,80.1722,84.2,70,20,6.91
169,Nabire,ID,2021-04-10 15:43:33,-3.3667,135.4833,75.22,94,100,2.73
170,Rawson,AR,2021-04-10 15:40:53,-43.3002,-65.1023,65.7,44,4,19.8
171,Cannes,FR,2021-04-10 15:43:33,43.55,7.0167,59.0,82,90,3.44
172,Provideniya,RU,2021-04-10 15:39:37,64.3833,-173.3,-1.68,87,100,20.4
173,Capreol,CA,2021-04-10 15:43:34,46.706,-80.9225,61.0,67,75,10.36
174,Kosonsoy,UZ,2021-04-10 15:43:34,41.2561,71.5508,64.4,29,0,4.61
175,Nhulunbuy,AU,2021-04-10 15:43:34,-12.2333,136.7667,78.8,83,72,4.61
176,Dicabisagan,PH,2021-04-10 15:43:35,17.0818,122.4157,75.79,83,60,7.67
177,Saint-Pierre,RE,2021-04-10 15:43:35,-21.3393,55.4781,80.6,69,75,3.44
178,Nome,US,2021-04-10 15:43:35,64.5011,-165.4064,5.0,51,1,14.97
179,La Ronge,CA,2021-04-10 15:43:35,55.1001,-105.2842,33.8,60,100,9.22
180,Victoria,HK,2021-04-10 15:43:24,22.2855,114.1577,73.0,78,8,1.01
181,Luganville,VU,2021-04-10 15:43:36,-15.5333,167.1667,76.03,89,100,4.65
182,Sur,OM,2021-04-10 15:43:36,22.5667,59.5289,82.9,60,0,12.53
183,Ponta Do Sol,PT,2021-04-10 15:43:36,32.6667,-17.1,66.2,82,75,5.75
184,Yarmouth,US,2021-04-10 15:43:37,41.7057,-70.2286,57.0,76,90,8.05
185,Zima,RU,2021-04-10 15:43:37,53.9202,102.0442,23.2,81,23,5.84
186,Aswan,EG,2021-04-10 15:43:37,24.0934,32.907,76.78,11,0,19.75
187,Tooele,US,2021-04-10 15:43:38,40.5308,-112.2983,53.01,32,1,3.76
188,Viana,BR,2021-04-10 15:43:38,-20.3903,-40.4961,80.6,54,0,12.66
189,Saint-Philippe,RE,2021-04-10 15:43:38,-21.3585,55.7679,80.6,69,75,3.44
190,Nemuro,JP,2021-04-10 15:40:30,43.3236,145.575,34.75,76,16,7.76
191,Vanavara,RU,2021-04-10 15:39:49,60.34,102.2797,5.04,95,15,2.1
192,Sioux Lookout,CA,2021-04-10 15:40:11,50.1001,-91.917,35.6,93,90,9.22
193,Cap Malheureux,MU,2021-04-10 15:43:39,-19.9842,57.6142,80.01,76,99,7.0
194,Bengkulu,ID,2021-04-10 15:42:11,-3.8004,102.2655,77.11,89,100,4.34
195,Soyo,AO,2021-04-10 15:39:07,-6.1349,12.3689,84.2,74,75,6.91
196,Kansanshi,ZM,2021-04-10 15:43:39,-12.0951,26.4273,61.93,93,100,3.71
197,Myitkyina,MM,2021-04-10 15:43:40,25.3833,97.4,73.13,64,44,2.89
198,Avera,US,2021-04-10 15:43:40,33.194,-82.5271,71.6,78,40,12.66
199,Champasak,LA,2021-04-10 15:43:40,14.75,106.0,78.85,68,98,3.74
200,Quanzhou,CN,2021-04-10 15:43:41,24.9139,118.5858,66.2,59,0,13.42
201,Tarakan,ID,2021-04-10 15:43:41,3.3,117.6333,79.92,78,85,1.41
202,Horomerice,CZ,2021-04-10 15:43:41,50.1317,14.3388,57.99,58,20,5.75
203,Pisco,PE,2021-04-10 15:39:09,-13.7,-76.2167,72.0,68,0,5.75
204,Betafo,MG,2021-04-10 15:43:42,-19.8333,46.85,61.52,90,89,4.18
205,Santiago Del Estero,AR,2021-04-10 15:43:42,-27.7951,-64.2615,68.58,78,100,16.13
206,Kirkuk,IQ,2021-04-10 15:43:42,35.4681,44.3922,71.29,37,97,11.03
207,Arak,IR,2021-04-10 15:43:42,34.0917,49.6892,63.97,28,99,2.3
208,Bria,CF,2021-04-10 15:43:43,6.5423,21.9863,91.85,32,87,2.93
209,Isangel,VU,2021-04-10 15:43:43,-19.55,169.2667,78.31,90,100,15.21
210,Ossora,RU,2021-04-10 15:43:43,59.2353,163.0719,3.2,81,96,7.96
211,Cidreira,BR,2021-04-10 15:40:12,-30.1811,-50.2056,84.13,52,86,5.86
212,Linqu,CN,2021-04-10 15:43:44,36.5156,118.5397,53.8,63,100,8.79
213,Campbell River,CA,2021-04-10 15:39:38,50.0163,-125.2446,34.0,86,20,6.91
214,San Andres,CO,2021-04-10 15:39:21,12.5847,-81.7006,84.2,74,90,10.36
215,San Policarpo,PH,2021-04-10 15:43:44,12.1791,125.5072,79.3,80,100,10.02
216,Opuwo,NA,2021-04-10 15:42:42,-18.0607,13.84,84.52,21,2,9.82
217,Port Hedland,AU,2021-04-10 15:43:44,-20.3167,118.5667,84.2,84,75,6.91
218,Hirara,JP,2021-04-10 15:43:45,24.8,125.2833,72.43,72,19,21.88
219,Morrope,PE,2021-04-10 15:43:45,-6.5417,-80.0111,75.2,83,20,2.3
220,Norrkoping,SE,2021-04-10 15:43:45,58.5942,16.1826,51.01,34,20,18.41
221,Skjervoy,NO,2021-04-10 15:40:46,70.0311,20.9714,35.06,55,20,19.51
222,Mnogovershinnyy,RU,2021-04-10 15:43:46,53.9353,139.9242,26.01,87,9,5.17
223,Thanh Hoa,VN,2021-04-10 15:43:46,19.8,105.7667,71.55,97,51,2.01
224,Souillac,MU,2021-04-10 15:43:46,-20.5167,57.5167,78.8,83,40,9.22
225,Lamar,US,2021-04-10 15:43:47,33.6668,-95.5836,57.99,58,1,18.41
226,Emba,KZ,2021-04-10 15:43:47,48.8264,58.1442,51.82,56,7,13.18
227,Kiunga,PG,2021-04-10 15:43:47,-6.1219,141.2906,72.75,99,93,1.81
228,Shelburne,CA,2021-04-10 15:43:47,44.0787,-80.2041,66.99,57,99,11.39
229,Mus,TR,2021-04-10 15:39:39,39.0,41.75,51.94,70,75,13.89
230,Betma,IN,2021-04-10 15:43:48,22.6833,75.6167,84.2,13,6,4.61
231,Narsaq,GL,2021-04-10 15:43:48,60.9167,-46.05,42.8,61,75,5.75
232,Ugoofaaru,MV,2021-04-10 15:43:48,5.6667,73.0,83.88,66,77,2.1
233,Duncan,US,2021-04-10 15:43:49,34.5023,-97.9578,57.99,47,1,18.41
234,Tomatlan,MX,2021-04-10 15:43:49,19.9333,-105.25,83.95,37,7,3.71
235,Ewa Beach,US,2021-04-10 15:43:49,21.3156,-158.0072,69.8,77,90,3.44
236,Saldanha,ZA,2021-04-10 15:43:49,-33.0117,17.9442,73.4,60,98,13.02
