City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pingliang,CN,35.5392,106.6861,45.01,88,61,2.53,broken clouds
80,Irtyshskiy,RU,58.3333,68.1333,44.64,79,100,12.57,overcast clouds
81,Yellowknife,CA,62.456,-114.3525,-2.2,71,75,6.91,light snow
82,Ulladulla,AU,-35.35,150.4667,51.8,50,7,14.97,clear sky
83,Kumluca,TR,36.3703,30.2869,55.13,53,7,5.35,clear sky
84,Glace Bay,CA,46.1969,-59.957,41.0,75,90,14.97,overcast clouds
85,Port Lincoln,AU,-34.7333,135.8667,59.95,57,100,10.96,overcast clouds
86,Trofors,NO,65.5333,13.4063,37.4,75,75,2.3,broken clouds
87,Port Hardy,CA,50.6996,-127.4199,42.8,61,20,10.36,few clouds
88,Upata,VE,8.0086,-62.3989,91.99,57,100,4.36,overcast clouds
89,Coihaique,CL,-45.5752,-72.0662,57.2,88,90,10.36,light rain
90,Hobart,AU,-42.8794,147.3294,48.2,71,75,13.8,broken clouds
91,Smithfield,US,41.922,-71.5495,55.99,93,90,12.66,overcast clouds
92,Tasiilaq,GL,65.6145,-37.6368,32.0,69,0,3.44,clear sky
93,Malanje,AO,-9.5402,16.341,65.25,93,67,2.91,broken clouds
94,Kuala Terengganu,MY,5.3302,103.1408,78.8,94,40,2.3,scattered clouds
95,Marsh Harbour,BS,26.5412,-77.0636,78.28,68,5,17.13,clear sky
96,Fort Saint James,CA,54.4333,-124.25,37.31,53,50,4.43,scattered clouds
97,Takoradi,GH,4.8845,-1.7554,83.26,76,84,13.49,broken clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,40,0,11.5,clear sky
99,Esperance,AU,-33.8667,121.9,60.8,72,90,23.02,light rain
100,Gonzales,US,30.2385,-90.9201,75.99,43,1,4.61,clear sky
101,Georgetown,MY,5.4112,100.3354,78.8,89,20,2.3,few clouds
102,Esmeraldas,BR,-19.7625,-44.3139,82.4,39,0,6.91,clear sky
103,Falun,SE,60.6036,15.626,39.99,70,75,12.66,light intensity drizzle
104,Houston,US,29.7633,-95.3633,80.01,29,1,4.61,clear sky
